Invoice_ID,Date,Supplier,Category,Country,Department,Invoice_Description,Amount,Payment_Terms,On_Time_Delivery,Defect_Rate_Pct,Lead_Time_Days,Risk_Score,Risk_Level,Contract_Value,Contract_Expiry_Date
1,2024-09-23,GlobalMove Co.,Logistics,Netherlands,Sales,Port handling charges,57904,Net 90,Yes,0.2,19,36,Low,3408301,2027-04-11
2,2023-01-12,LawBridge Inc.,Legal,Singapore,Sales,Regulatory filing fees,284098,2/10 Net 30,No,7.4,14,26,Low,3023724,2027-04-04
3,2024-09-23,MediSupply Co.,Healthcare,USA,HR,Pharmacy supplies order,417584,Net 90,No,7.4,35,21,Low,2205835,2026-06-11
4,2023-08-03,MetalMax Co.,Raw Materials,China,Engineering,Copper wire batch delivery,442345,Net 30,Yes,0.2,40,74,Critical,3776949,2026-06-11
5,2023-04-03,EnergyPrime Ltd.,Energy,UAE,Operations,Generator fuel supply,116938,2/10 Net 30,Yes,3.6,35,52,Medium,1589709,2027-05-16
6,2023-08-15,PrimeParts Mfg.,Raw Materials,India,Procurement,Chemical compounds order,357067,Net 60,Yes,1.6,9,14,Low,2821626,2026-06-05
7,2024-08-25,SkyLog Partners,Logistics,USA,IT,Warehouse storage monthly fee,226819,Net 30,No,5.6,8,26,Low,1203432,2027-01-31
8,2023-01-20,SteelCore Inc.,Raw Materials,Brazil,Engineering,Copper wire batch delivery,136703,Net 60,Yes,2.9,4,43,Medium,3259340,2026-12-31
9,2024-01-21,MediaPulse Inc.,Marketing,Australia,Marketing,Event management services,362113,Net 45,No,4.2,26,17,Low,853732,2027-02-08
10,2024-10-25,FastFreight Co.,Logistics,Mexico,Marketing,Last mile delivery services,355200,Net 45,Yes,4.1,20,74,High,609324,2026-11-17
11,2023-08-16,TravelEase Inc.,Travel,USA,Manufacturing,Car rental services,440018,Net 90,Yes,6.3,7,18,Low,3658401,2026-05-29
12,2023-06-21,BuildRight Co.,Facilities,UK,Operations,Pest control quarterly,175962,Net 60,Yes,1.8,42,18,Low,3205587,2026-11-27
13,2023-04-16,GlobalMove Co.,Logistics,Netherlands,Legal,Warehouse storage monthly fee,128011,Net 30,No,2.5,43,37,Low,3887411,2026-08-03
14,2024-12-26,SupplyBase Co.,Office Supplies,India,Marketing,Desk equipment purchase,397735,Net 45,Yes,4.5,19,35,Low,329048,2027-04-05
15,2023-08-14,AlloyCraft Ltd.,Raw Materials,South Korea,Legal,Chemical compounds order,20619,Net 45,Yes,3.4,33,37,Medium,2300874,2026-08-30
16,2024-10-24,SupplyBase Co.,Office Supplies,India,Engineering,Desk equipment purchase,450743,Net 90,No,4.9,45,31,Low,2012869,2027-04-10
17,2024-11-19,GreenWatt Co.,Energy,Denmark,Legal,Energy audit services,446339,Net 90,Yes,1.5,13,14,Low,4850153,2026-08-31
18,2024-07-01,PharmaCare Ltd.,Healthcare,Switzerland,IT,PPE equipment bulk purchase,268386,Net 60,Yes,2.9,10,30,Low,3125624,2027-05-07
19,2024-03-12,TravelEase Inc.,Travel,USA,Finance,Hotel accommodation corporate,412370,Net 30,No,4.6,40,22,Low,205936,2026-10-15
20,2024-11-19,CompliancePro Ltd.,Legal,UK,HR,Trademark registration,72081,Net 45,Yes,3.8,39,15,Low,4971388,2027-01-12
21,2024-11-14,SkyLog Partners,Logistics,USA,Procurement,Fleet maintenance services,284506,Net 90,No,5.0,20,26,Low,2860824,2026-05-06
22,2024-11-15,OfficePlus Ltd.,Office Supplies,USA,Legal,Coffee machine supplies,425796,Net 45,Yes,3.5,25,6,Low,1019596,2027-03-13
23,2023-12-15,CleanSpace Services,Facilities,USA,Finance,Pest control quarterly,21319,2/10 Net 30,Yes,6.2,18,13,Low,1143634,2027-03-05
24,2024-08-15,FastFreight Co.,Logistics,Mexico,Finance,Last mile delivery services,154704,Net 45,Yes,6.9,40,76,High,2130621,2026-06-24
25,2023-06-24,DeskPro Inc.,Office Supplies,China,Operations,Stationery monthly supply,19472,Net 30,Yes,0.7,16,38,Medium,1727710,2026-05-15
26,2023-11-18,SupplyBase Co.,Office Supplies,India,Operations,Printer paper bulk order,197585,Net 90,Yes,3.0,6,34,Low,2973956,2026-07-07
27,2023-12-09,AlloyCraft Ltd.,Raw Materials,South Korea,IT,Steel rods bulk purchase,306012,Net 90,Yes,6.7,27,37,Medium,2547895,2026-09-22
28,2024-11-18,SwiftCargo Inc.,Logistics,UAE,IT,Last mile delivery services,106279,Net 45,Yes,4.8,45,61,High,4924307,2027-03-12
29,2024-01-07,ByteWave Technologies,IT,USA,Manufacturing,SaaS platform subscription,433798,Net 60,Yes,6.1,37,18,Low,502529,2026-09-15
30,2023-12-24,SpaceWorks Inc.,Facilities,Australia,HR,HVAC system repair,91887,Net 30,Yes,1.7,22,10,Low,1774923,2026-05-12
31,2023-12-03,CloudBase Inc.,IT,USA,Legal,Cloud server hosting monthly fee,424615,2/10 Net 30,Yes,5.7,5,46,Medium,1575455,2027-01-20
32,2024-11-23,BuildRight Co.,Facilities,UK,Marketing,Building maintenance services,480034,2/10 Net 30,No,2.9,37,20,Low,3503411,2026-05-29
33,2024-01-18,PrintCore Ltd.,Office Supplies,Germany,Legal,Desk equipment purchase,364309,Net 60,No,3.0,35,18,Low,1030208,2027-04-01
34,2024-02-17,NetSphere Ltd.,IT,Germany,Marketing,Data storage solution,13828,Net 45,Yes,1.2,20,30,Low,3239434,2026-08-28
35,2023-01-18,FlightPro Ltd.,Travel,UAE,Manufacturing,Airport transfer services,291588,Net 90,Yes,2.7,34,40,Medium,1651727,2026-11-12
36,2024-05-18,NetSphere Ltd.,IT,Germany,Marketing,Data storage solution,334563,Net 60,No,6.7,41,28,Low,1345936,2027-02-09
37,2023-01-06,DeskPro Inc.,Office Supplies,China,Sales,Desk equipment purchase,312145,Net 30,Yes,1.7,34,39,Medium,4587849,2026-06-18
38,2023-01-26,CreativeHub Co.,Marketing,Canada,IT,Market research report,357472,Net 45,Yes,4.1,36,10,Low,4912586,2026-10-20
39,2024-02-09,SpaceWorks Inc.,Facilities,Australia,Marketing,Elevator maintenance,358636,Net 90,No,0.6,25,7,Low,4075654,2026-10-06
40,2023-05-24,DataCore Solutions,IT,India,Sales,IT support and maintenance,86186,Net 60,Yes,7.9,19,31,Medium,3132632,2026-05-13
41,2024-09-04,SteelCore Inc.,Raw Materials,Brazil,Procurement,Chemical compounds order,378542,Net 90,No,5.0,36,46,Medium,832749,2027-04-13
42,2024-07-06,GlobalMove Co.,Logistics,Netherlands,Manufacturing,Last mile delivery services,344184,Net 45,No,5.8,5,29,Low,685002,2026-11-20
43,2023-01-19,OceanShip Ltd.,Logistics,Singapore,Manufacturing,Last mile delivery services,476950,Net 30,Yes,1.6,35,50,High,3371269,2027-03-17
44,2023-06-02,SolarMax Inc.,Energy,USA,Finance,Generator fuel supply,402199,Net 90,Yes,2.6,25,12,Low,674794,2026-07-27
45,2024-01-18,LawBridge Inc.,Legal,Singapore,Sales,Contract review services,381607,Net 30,Yes,5.3,1,23,Low,3511622,2027-02-05
